"","Q1.2","Q1.4","Q1.5","Q1.12","Q1.14.1","Q1.14.2","Q1.14.3","Q1.14.4","Q1.14.5","Q1.14.6","Q3.3","Q3.5.2","Q3.6.1","Q3.6.2","Q3.7","Q3.8.1c1","Q3.8.1c2","Q3.12","Q3.14","Q3.21.1","Q3.21.2","Q3.21.3","Q5.1","Q5.2","Q5.3.1","Q5.4","Q6.1.1","Q6.1.2","Q6.1.3","Q6.1.4","Q6.1.5","Q6.2.1","Q6.2.2","Q6.2.5","Q6.3","Q6.7","Q7.5","Q7.6"
"305",2,26,8,1,4,4,3,2,4,4,2,5,85,70,1750,1852,0,3,1,5,5,5,54.2499666666668,2,189,5,2,2,2,2,2,3,3,4,6,6,8,5
"306",1,1,7,2,4,2,3,4,1,4,1,1,5,0.7,800,485,250,2,0,1,5,5,23.5833,2,86,5,2,5,1,1,2,4,2,4,5,7,2,3
"307",2,19,2,1,4,2,2,3,4,5,1,1,10,1.5,1600,1330,0,4,38,2,2,2,34.9999666666668,1,144,3,4,4,4,2,4,4,3,4,3,2,6,7
"308",1,19,4,2,5,4,3,5,5,4,2,5,56,87,0,0,271,3,0,3,3,3,21.9999666666668,2,86,1,4,4,4,1,2,5,2,5,6,1,4,5
"309",1,23,6,2,4,2,2,4,5,2,1,2,8,1.6,230,0,840,4,0,3,3,3,21.8333,1,86,1,3,3,4,4,1,5,1,4,4,3,6,5
"310",1,18,6,2,4,4,3,3,4,4,1,5,37,21,1200,824,200,3,20,3,3,3,25.4166333333333,1,86,1,3,3,2,2,3,3,2,3,3,6,5,3
"311",2,21,1,2,5,5,4,4,5,2,2,3,40,37,880,710,2000,3,0,5,3,3,32.5833,1,86,1,6,6,4,3,5,5,4,4,4,2,5,2
"312",2,11,7,1,4,3,3,2,5,5,1,3,30,10,1000,280,0,4,0,3,3,3,32.9999666666668,2,86,1,5,4,5,4,3,5,3,4,4,2,6,4
"313",2,26,4,1,1,1,2,4,1,2,1,5,35,20,720,700,0,4,0,4,5,5,48.9999666666668,1,82,3,2,2,3,1,2,4,3,1,2,6,5,7
"314",1,22,4,2,5,3,4,4,4,5,2,5,30,12,500,0,1930,3,0,3,3,3,22.9166333333333,2,86,1,5,4,4,4,5,5,3,5,2,4,2,1
"315",1,18,4,1,5,3,2,5,5,5,1,3,65,80,0,850,0,5,0,3,3,3,29.1666333333333,1,51,3,5,4,4,3,4,4,1,4,4,4,5,5
"316",1,23,4,1,4,4,3,4,4,3,2,5,90,90,400,400,0,5,0,3,3,3,35.7499666666668,1,86,1,5,5,4,4,4,4,3,4,3,4,6,5
"317",1,25,4,2,5,4,2,4,5,5,1,2,10,21,500,480,0,5,0,4,3,3,21.9999666666668,2,134,4,5,5,4,4,5,4,3,5,5,6,3,5
"318",1,19,2,1,5,4,4,5,5,5,2,3,60,57,450,110,900,4,16,5,3,3,24.2499666666668,1,86,1,5,5,5,5,5,2,1,4,4,3,7,4
"319",1,24,2,2,4,4,3,3,4,1,2,5,45,9,850,450,470,3,0,3,4,4,23.9999666666668,2,86,1,1,1,1,1,3,3,3,4,3,3,5,2
"320",2,18,6,1,4,4,3,2,4,4,2,3,37,21,0,1660,0,3,34,3,3,3,33.4999666666668,1,86,1,5,5,3,3,3,4,4,4,4,4,6,1
"321",1,18,3,1,4,3,3,4,4,5,1,3,90,75,1938,1930,0,5,0,2,5,5,30.9999666666668,1,86,1,4,2,4,2,4,4,1,4,5,1,6,4
"322",1,13,7,1,3,3,3,3,2,3,2,3,60,70,0,440,0,3,0,3,5,5,33.2499666666668,2,86,1,2,2,2,2,2,1,3,2,5,5,5,7
"323",1,22,2,2,4,2,1,4,4,5,1,1,10,0.8,1130,765,350,3,10,3,3,3,24.0833,2,86,1,5,4,5,3,5,4,4,4,2,6,5,7
"324",1,18,6,1,4,1,2,3,2,2,1,3,45,48,2500,1081,0,1,36,3,3,3,26.2499666666668,2,86,1,6,2,4,1,5,4,5,4,4,7,1,1
"325",1,2,4,2,5,5,5,3,5,2,1,2,40,10,1500,1193,0,4,40,5,5,5,23.3333,2,189,2,4,2,5,2,6,1,1,5,4,1,10,6
"326",1,3,2,2,5,5,4,5,5,4,1,5,60,30,2400,2315,0,2,0,5,3,3,35.4166333333333,1,86,1,2,2,1,1,2,1,4,5,5,7,7,4
"327",1,24,2,1,4,5,3,5,4,3,1,2,20,2,450,553,370,2,0,3,3,3,25.4999666666668,1,86,1,3,2,3,4,5,4,4,4,3,4,4,2
"328",1,18,3,2,4,4,3,4,4,4,2,5,90,32,750,520,0,3,15,4,2,2,23.8333,1,86,2,4,4,3,3,3,3,2,4,3,4,8,5
"329",2,20,10,2,4,4,4,4,4,4,1,1,20,3,160,605,0,4,39,4,4,4,25.6666333333333,1,86,1,4,5,4,2,5,2,1,3,5,3,3,3
"330",1,22,2,2,4,4,3,5,4,4,1,1,20,1.8,400,188,424,3,1,3,3,3,22.9166333333333,1,66,4,4,4,3,1,2,4,3,5,6,6,3,3
"331",1,25,3,1,4,4,4,4,5,4,1,2,45,6,1000,1000,0,4,0,3,3,3,38.4166333333333,2,189,4,3,3,3,3,4,4,1,5,3,1,6,6
"332",2,3,8,1,4,4,5,4,3,5,1,3,37,21,2400,945,0,1,43,5,1,1,29.1666333333333,2,86,1,6,4,1,1,1,4,4,4,5,7,3,4
"333",2,18,7,1,5,4,4,4,4,5,2,3,20,12,200,0,600,5,0,3,3,3,35.2499666666668,1,86,2,5,4,4,3,4,5,2,4,5,1,6,6
"334",1,23,10,2,2,2,2,2,2,4,1,1,7,0.5,200,370,0,5,20,5,1,1,23.4999666666668,1,189,1,2,2,2,2,2,4,1,3,4,4,6,6
"335",1,24,4,2,3,2,2,2,2,3,1,5,15,6,400,0,400,2,0,3,4,4,23.7499666666668,1,37,5,2,2,2,2,2,4,3,3,2,3,7,7
"336",1,23,10,1,4,2,3,4,4,5,1,3,60,48,80,1170,0,3,24,2,4,4,39.8333,1,189,2,5,4,3,3,2,5,4,4,6,6,10,6
"337",1,1,4,2,3,3,2,3,4,4,2,3,35,28,375,286,195,4,14,4,3,3,22.2499666666668,2,86,1,4,3,3,2,3,5,2,4,4,6,4,3
"338",1,22,2,2,2,2,1,1,4,5,2,5,50,15,1200,1110,0,5,36,5,1,1,23.8333,1,86,1,2,1,2,1,3,3,1,4,5,1,5,4
"339",1,3,4,1,5,4,4,4,5,5,2,3,12,10.9,400,290,0,4,0,3,3,3,40.3333,1,134,4,5,4,4,3,3,4,3,5,6,6,2,7
"340",1,12,10,2,4,4,4,4,5,5,1,3,10,1.75,600,600,0,5,10,4,3,3,25.0833,1,86,1,4,4,4,4,4,5,2,4,2,6,6,6
"341",1,19,7,1,4,4,2,4,4,4,2,3,35,35,0,1340,0,1,40,5,3,3,48.9999666666668,2,86,1,4,3,2,2,2,5,4,3,4,6,6,1
"342",1,18,4,2,4,4,4,4,4,4,1,2,5,1,700,0,700,4,0,4,4,4,23.0833,2,86,1,2,2,2,2,2,1,2,3,4,2,7,4
"343",2,24,4,1,4,5,2,5,4,5,1,3,5,5,0,2200,0,2,50,5,3,3,33.7499666666668,2,86,1,5,5,3,1,3,5,4,5,3,6,5,1
"344",1,18,8,2,4,4,4,3,4,5,1,1,30,3,450,230,380,4,16,3,2,2,23.1666333333333,1,86,2,5,4,4,1,3,4,2,4,4,4,6,4
"345",1,2,4,2,3,4,4,3,4,4,1,1,10,0.4,450,280,750,3,14,4,3,3,22.8333,1,86,1,4,3,2,1,3,4,3,4,3,7,3,7
"346",2,23,1,2,5,5,4,4,5,5,2,3,60,70,600,2620,0,3,22,4,3,3,34.9166333333333,2,86,1,6,6,6,5,6,5,3,5,3,3,1,2
"347",1,24,13,2,4,4,4,4,5,4,1,5,10,0.5,1000,0,1380,3,0,3,5,5,22.6666333333333,1,42,4,5,4,4,5,5,4,3,5,3,5,6,7
"348",1,23,5,2,3,3,2,5,4,5,1,5,60,50,500,500,0,4,36,5,3,3,24.6666333333333,1,190,1,4,4,3,3,4,4,3,4,5,4,6,5
"349",2,26,7,1,5,4,4,4,5,4,2,3,20,15,2320,2290,0,3,0,3,3,3,35.2499666666668,2,86,1,6,5,5,4,5,5,2,5,3,4,5,4
"350",1,18,2,1,5,4,4,3,4,5,2,3,30,25,40,920,0,5,0,3,3,3,61.4166333333333,1,86,1,5,5,4,5,5,4,1,5,3,1,5,5
"351",1,22,6,2,5,4,3,4,5,4,2,5,55,21,650,140,0,2,0,5,5,5,24.1666333333333,2,86,1,5,5,5,2,4,4,5,5,3,1,6,2
"352",1,24,7,2,4,4,3,3,4,5,2,5,35,9.9,130,0,272,3,0,3,3,3,22.7499666666668,1,86,1,5,4,3,4,5,5,5,5,3,7,3,7
"353",1,24,2,1,4,4,4,4,4,4,1,2,15,4,300,300,650,4,0,3,4,4,24.8333,1,66,4,5,5,5,5,5,4,4,5,4,1,5,7
"354",1,24,9,1,5,4,3,5,5,4,2,5,55,11,400,380,1160,4,0,1,5,5,28.2499666666668,1,86,1,5,3,3,2,5,3,1,5,4,4,5,4
"355",2,24,4,1,4,5,5,4,4,5,1,3,150,250,2250,1700,0,3,40,5,2,2,28.4166333333333,2,86,1,5,5,3,2,5,4,3,5,2,6,5,3
"356",1,3,7,2,4,4,2,4,4,4,2,2,5,2,800,440,400,3,10,5,2,2,23.0833,2,86,1,3,3,3,1,4,2,2,5,3,3,5,1
"357",1,25,2,1,4,4,3,4,4,2,2,3,60,80,350,360,0,2,0,5,5,5,29.9166333333333,1,86,1,2,4,4,6,6,5,4,5,4,2,6,4
"358",1,19,6,2,4,3,2,4,4,3,1,3,10,21,0,380,590,2,0,4,3,3,22.0833,1,86,2,3,3,4,2,3,4,4,3,4,3,4,4
"359",1,18,4,2,5,4,5,5,4,1,2,3,20,18,200,210,80,3,7,1,1,1,22.1666333333333,1,86,1,2,1,1,1,1,5,2,3,4,7,3,3
"360",2,24,3,2,4,3,4,4,4,4,1,6,40,10,300,1260,0,3,50,5,1,1,31.4166333333333,1,86,1,5,5,5,4,4,5,1,4,3,3,5,7
"361",1,18,7,2,2,2,2,5,4,4,2,3,20,4,800,0,1700,2,1,3,3,3,24.1666333333333,1,86,1,2,1,2,1,2,4,4,3,4,4,7,5
"362",1,22,10,1,4,2,4,4,4,5,2,5,150,220,0,1294.54,1000,4,0,4,3,3,26.2499666666668,2,86,1,5,5,5,6,5,5,4,5,3,1,5,5
"363",1,19,3,2,5,3,4,2,5,5,1,3,30,40,700,565,0,3,19,3,3,3,24.9999666666668,2,86,1,4,4,4,2,5,3,2,5,2,4,5,3
"364",1,24,7,1,4,3,4,4,5,4,2,3,40,25.1,220,0,100,5,0,4,5,5,26.2499666666668,2,86,1,4,4,4,3,2,5,1,5,4,4,5,3
"365",2,4,7,1,4,4,4,4,4,4,1,5,40,8,1000,2500,0,2,39,4,3,3,31.6666333333333,2,29,3,4,3,3,3,3,4,4,4,3,4,6,4
"366",1,18,2,1,4,3,2,4,4,1,1,1,10,1,950,210,633,4,4,3,3,3,24.6666333333333,1,86,1,4,4,2,2,4,2,3,4,2,3,5,2
"367",2,19,5,2,4,1,3,1,4,5,2,3,50,65,400,355,40,4,30,3,3,3,21.8333,1,86,2,4,3,5,4,5,5,4,2,4,6,5,7
"368",1,22,2,2,4,4,4,2,4,4,1,5,20,6.7,300,270,300,3,0,3,3,3,21.8333,1,189,5,2,3,3,3,2,1,2,4,2,3,4,3
"369",1,25,6,1,3,1,3,4,3,3,1,6,37,21,1000,300,360,2,20,2,4,4,26.7499666666668,2,168,5,4,4,4,4,4,4,4,4,3,4,5,5
"370",2,11,7,1,5,4,3,5,5,4,1,3,45,30,2000,1950,0,1,45,4,3,3,32.8333,2,144,3,5,3,5,5,5,4,4,5,5,4,5,7
"371",1,24,3,2,4,4,4,4,4,4,1,3,15,4,900,935,0,3,20,5,5,5,29.2499666666668,1,86,1,5,5,5,5,5,5,4,5,2,1,6,4
"372",2,3,3,1,3,2,2,3,4,4,1,5,45,4,2800,2000,0,3,60,5,5,5,30.9999666666668,2,86,1,5,5,5,1,5,5,4,3,2,4,6,1
"373",1,24,7,1,1,1,1,1,1,1,1,3,10,1,300,660,0,5,6,5,1,1,32.7499666666668,2,86,1,2,3,3,2,4,4,1,1,3,2,5,3
"374",1,24,6,1,4,4,3,3,4,2,1,2,15,1.6,0,650,0,4,0,4,1,1,26.5833,1,86,1,2,1,1,1,2,3,2,3,5,5,3,7
"375",1,24,8,2,4,4,4,4,4,4,1,2,30,3,600,520,0,2,0,3,3,3,23.9166333333333,2,42,4,1,1,1,1,1,4,4,4,5,1,5,7
"376",1,24,2,1,5,4,5,4,4,4,2,5,40,13,2400,1165,0,1,0,3,3,3,61.2499666666668,2,86,1,5,4,4,3,6,5,5,4,6,3,8,2
"377",1,24,4,1,4,4,4,4,5,4,2,5,60,13,500,0,500,3,0,3,3,3,24.7499666666668,1,86,1,5,4,4,3,2,5,3,4,3,3,6,7
"378",1,24,2,1,4,4,4,4,5,3,2,2,20,6,500,1645,0,1,0,3,3,3,37.4999666666668,2,86,1,6,5,5,4,5,5,5,5,2,3,6,2
"379",2,22,7,1,5,5,4,4,5,5,2,5,70,29,2100,1630,1000,3,45,5,3,3,54.4999666666668,1,86,1,5,5,5,2,5,4,3,5,3,4,5,4
"380",1,24,4,2,3,3,3,3,3,4,2,3,30,7.9,900,785,750,4,16,4,2,2,23.3333,2,86,1,3,3,3,3,3,5,2,4,2,1,3,1
"381",1,24,7,2,4,2,3,2,3,4,1,2,6,2,1000,0,775,3,10,3,3,3,23.2499666666668,2,86,1,6,6,6,6,6,5,5,5,3,1,5,1
"382",1,23,10,2,2,2,3,2,4,4,1,2,5,1.1,500,430,380,2,0,4,4,4,24.7499666666668,2,86,4,4,4,4,3,4,4,3,4,4,2,6,7
"383",1,4,4,2,5,5,5,5,5,5,2,5,50,32,200,130,250,1,0,5,5,5,22.0833,1,82,3,6,4,5,3,3,4,4,4,5,5,4,3
"384",2,4,8,1,4,3,3,4,4,4,2,2,15,5,1300,2775,0,3,30,3,5,5,42.2499666666668,2,189,2,5,5,4,4,4,4,3,4,3,4,3,5
"385",1,18,3,2,5,4,4,4,4,4,1,1,15,2,590,570,50,4,0,3,5,5,26.3333,1,86,1,2,2,2,4,3,4,2,3,4,4,6,4
"386",1,24,4,2,4,4,4,4,4,3,1,3,20,3,1200,1160,0,3,0,4,5,5,27.9999666666668,1,86,1,4,2,3,2,4,4,4,4,3,3,4,1
"387",1,24,7,1,3,2,3,2,2,4,2,5,120,64,0,500,0,4,0,4,4,4,37.2499666666668,2,86,1,2,3,3,3,2,3,2,3,3,5,5,3
"388",1,18,4,1,4,4,3,4,5,5,1,1,20,2,1000,660,0,2,0,3,3,3,27.9999666666668,2,70,4,4,5,4,3,3,2,2,4,3,2,6,5
"389",2,15,2,1,4,4,2,3,3,3,1,3,36,44.8,1270,1090,0,4,20,5,1,1,35.7499666666668,1,86,1,2,2,3,1,2,5,2,4,4,4,6,6
"390",1,18,5,2,4,4,5,4,4,2,1,2,20,2,600,574,70,5,10,5,1,1,23.2499666666668,1,14,2,5,5,4,5,4,4,2,5,2,2,5,7
"391",1,24,2,2,4,4,4,4,4,4,1,3,15,5,1000,938,0,5,34,3,3,3,23.4166333333333,1,86,1,4,2,4,2,2,4,1,4,5,2,7,5
"392",1,4,4,2,4,4,4,5,5,3,1,5,50,12,600,570,0,4,17.5,5,3,3,22.9999666666668,1,86,1,2,2,2,1,1,5,2,4,4,4,6,7
"393",1,24,8,1,2,2,2,3,2,2,1,2,15,5,0,800,0,5,8,3,3,3,24.9166333333333,2,86,1,5,5,5,4,3,2,1,3,4,3,6,7
"394",2,2,7,2,4,2,3,3,3,4,2,3,20,11,2000,2000,0,3,40,5,2,2,34.0833,1,86,1,2,3,1,1,2,4,4,4,3,6,2,7
"395",2,18,1,1,5,5,5,5,5,5,1,3,30,20,1700,1519,0,5,22,5,1,1,38.8333,1,86,1,4,4,5,5,5,5,1,5,4,2,9,5
"396",1,18,4,2,4,4,3,4,4,4,1,1,15,1.8,0,840,200,1,15,2,3,3,22.4166333333333,2,86,1,2,4,3,2,2,4,4,3,2,5,6,5
"397",1,22,7,2,5,4,4,4,4,5,2,5,60,28,100,400,0,3,0,1,1,1,24.6666333333333,2,86,1,5,5,2,2,4,4,3,4,3,5,6,4
"398",1,25,3,2,4,4,2,1,4,4,1,1,10,2,200,200,1025,4,0,4,5,5,22.8333,1,86,1,5,5,6,4,3,2,2,1,3,3,4,2
"399",1,4,3,1,4,4,4,4,4,5,1,1,8,1.5,800,800,0,4,20,5,5,5,27.0833,1,86,1,2,2,1,1,2,5,2,4,4,5,6,3
"400",1,24,3,1,4,4,4,4,4,4,1,1,10,1,1000,865,0,3,0,3,3,3,24.5833,2,42,4,5,5,4,4,4,3,3,3,5,4,5,6
"401",1,25,2,2,5,5,5,5,5,5,2,3,45,28.1,50,135,0,5,0,3,4,4,22.5833,1,86,1,2,2,2,1,2,4,1,5,4,3,6,4
"402",2,16,2,1,5,5,5,5,5,5,2,3,10,3.5,2000,1300,0,1,0,3,3,3,53.8333,1,86,1,4,4,3,3,4,5,4,5,3,1,3,7
"403",2,24,1,1,4,4,4,4,4,4,1,3,60,82,1600,1250,0,3,35,3,4,4,29.0833,1,86,1,5,5,5,4,5,4,3,4,3,2,5,3
"404",1,23,2,2,4,4,4,4,5,5,1,1,1,21,690,634,400,4,20,4,3,3,22.2499666666668,1,86,1,6,5,5,2,5,4,2,5,4,6,5,2
"405",1,18,5,2,4,4,2,4,4,4,1,1,30,10,600,500,800,4,20,5,5,5,22.5833,2,86,1,5,5,4,4,3,2,2,5,3,2,5,1
"406",1,4,3,2,5,5,2,3,5,4,2,3,45,30,1200,0,1000,1,0,3,3,3,26.2499666666668,1,86,1,4,3,3,4,2,4,5,3,4,7,3,1
"407",1,25,7,1,4,4,3,3,3,4,1,1,20,1.6,400,0,1310,3,0,3,4,4,27.3333,1,190,4,5,5,5,5,5,4,4,4,3,3,5,4
"408",1,23,2,1,5,5,3,4,5,4,1,1,25,2.5,800,778,0,3,0,4,4,4,31.8333,2,86,1,4,4,4,3,5,5,2,4,3,5,6,7
"409",1,25,7,2,4,2,4,4,4,4,1,1,15,1,250,90,340,5,35,4,5,5,23.4999666666668,2,86,5,2,2,3,2,2,1,2,4,5,3,5,3
"410",1,25,11,2,4,5,3,4,4,4,1,1,25,2,250,190,240,2,0,3,4,4,23.3333,1,86,1,4,5,3,4,3,4,2,4,4,4,4,3
"411",1,24,7,2,4,4,5,5,5,4,1,5,37,21,350,350,0,4,0,3,3,3,21.9999666666668,1,86,1,5,4,5,5,5,5,3,4,5,4,3,5
"412",2,24,9,2,2,3,2,3,4,4,2,3,120,150,1000,480,280,2,35,4,4,4,24.5833,2,86,1,3,4,4,3,4,4,4,3,4,2,5,3
"413",1,23,10,2,4,3,3,5,5,4,1,1,15,1,300,635,0,4,8,5,5,5,21.9999666666668,1,144,3,2,1,1,2,6,1,1,4,5,6,6,4
"414",2,3,6,1,3,2,4,3,4,4,1,5,50,9,1200,1110,0,4,35,4,3,3,27.4166333333333,2,86,1,2,2,2,1,4,4,1,4,5,3,4,7
"415",1,25,2,1,4,4,3,4,5,3,2,3,40,42.5,200,0,1385,5,0,3,4,4,49.8333,1,86,1,5,4,5,5,6,5,1,5,2,6,5,4
"416",1,24,10,1,4,4,4,3,1,4,1,3,55,60,0,2940,0,1,20,3,3,3,32.2499666666668,1,86,1,5,5,6,6,6,5,4,4,5,2,3,3
"417",1,3,4,2,4,2,2,1,5,5,1,2,4,1,200,585,0,4,10,4,2,2,26.4999666666668,2,86,1,4,2,2,2,3,4,2,4,6,1,4,5
"418",2,18,3,1,5,5,5,5,5,5,2,3,240,21,500,2000,0,1,22,3,3,3,44.6666333333333,2,189,3,6,6,6,3,6,5,5,5,5,4,4,2
"419",1,18,4,2,2,4,2,4,4,5,2,3,20,16,500,650,0,3,25,3,5,5,23.2499666666668,2,86,1,4,4,3,2,2,5,4,4,5,4,4,4
"420",1,25,2,2,4,3,3,2,2,4,1,1,0.5,2.8,700,596,300,5,15,5,2,2,23.0833,1,86,2,3,2,4,2,3,3,2,3,3,3,6,5
"421",1,24,3,1,4,4,2,3,4,2,2,3,90,44,340,380,528,5,6,3,4,4,47.5833,1,189,1,4,4,4,5,3,5,2,4,2,6,1,6
"422",1,22,4,2,4,1,4,2,4,4,2,1,25,0.8,450,200,250,5,0,4,5,5,29.1666333333333,2,86,1,3,3,1,1,2,3,1,2,3,7,1,1
"423",1,24,6,1,4,4,5,5,5,5,1,2,15,5,700,630,0,3,0,3,3,3,32.8333,2,86,1,3,4,3,3,3,4,4,4,5,3,7,4
"424",1,23,2,2,4,4,3,4,4,4,1,1,5,1,300,300,400,5,0,3,5,5,22.4166333333333,2,86,1,4,2,5,5,5,2,1,3,4,1,4,3
"425",1,19,6,2,4,5,3,4,5,5,1,5,20,18,50,0,530,4,0,5,5,5,25.4166333333333,1,86,1,2,2,2,1,2,5,4,5,4,7,5,3
"426",1,23,5,2,5,5,5,5,5,5,1,1,85,1,600,490,300,3,10,3,3,3,22.6666333333333,1,86,1,5,5,5,3,4,4,4,5,3,6,5,1
"427",2,7,6,1,3,1,1,5,4,3,1,3,15,6,2600,1400,0,2,45,4,4,4,35.3333,2,86,1,5,5,4,4,5,4,4,2,3,4,5,2
"428",1,19,3,2,4,5,5,4,4,5,1,5,35,17,700,100,711,3,15,3,1,1,26.2499666666668,1,66,5,2,2,3,2,4,4,3,4,4,3,5,3
"429",1,25,2,2,5,4,4,4,5,5,1,3,10,2.3,300,260,250,3,0,3,2,2,22.9999666666668,1,86,1,5,4,4,4,5,4,3,4,3,3,5,7
"430",1,22,3,2,2,2,2,4,2,4,2,5,90,32,1100,420,800,3,10,3,3,3,22.7499666666668,1,189,3,2,2,1,2,2,5,3,3,3,3,2,2
"431",1,23,6,2,4,1,4,2,1,5,1,1,5,1,500,500,0,5,0,1,5,5,24.6666333333333,2,86,1,4,2,2,1,5,2,1,4,5,3,5,3
"432",2,4,4,1,5,4,3,4,4,3,1,5,40,21,750,1360,0,3,0,4,4,4,32.7499666666668,1,86,1,4,3,4,1,4,4,3,4,3,3,6,5
"433",1,22,6,1,5,5,5,5,5,5,1,1,15,3.2,170,520,520,5,0,3,5,5,25.2499666666668,2,82,4,6,3,4,6,6,1,2,5,6,2,5,6
"434",1,25,3,2,4,4,2,5,5,5,2,3,30,7,180,180,0,3,0,3,3,3,23.3333,2,86,1,4,3,2,4,5,4,2,5,2,6,5,3
"435",1,23,4,2,4,4,3,4,3,4,2,3,15,8,170,165,0,3,8,4,5,5,23.7499666666668,1,86,1,4,2,2,2,4,5,4,5,6,5,2,7
"436",2,21,1,2,4,4,4,4,4,4,1,3,20,20,2200,1300,0,1,25,3,3,3,25.8333,1,86,1,5,5,5,4,5,5,5,5,5,3,5,3
"437",1,23,3,1,4,4,4,5,4,5,1,3,20,6.4,1500,1320,0,5,10,5,5,5,37.6666333333333,1,86,1,2,2,2,3,2,5,2,4,6,6,9,6
"438",1,22,2,2,4,2,5,2,4,5,2,2,20,7.5,200,200,210,2,0,3,4,4,23.5833,1,86,1,5,3,6,6,6,4,4,5,3,1,3,1
"439",1,24,2,1,4,5,3,4,4,4,1,5,30,21,900,1940,0,5,20,3,3,3,30.6666333333333,1,148,4,5,4,4,5,4,3,1,4,2,3,5,4
"440",1,18,6,1,4,3,3,4,4,4,1,1,35,5,200,793,0,5,0,3,2,2,30.1666333333333,2,86,1,3,3,3,3,2,2,1,3,4,3,6,5
"441",1,25,3,1,5,5,5,5,5,5,1,3,10,2.7,2040,1580,0,5,0,5,5,5,28.8333,1,144,3,4,3,4,2,4,4,2,5,4,1,6,5
"442",1,18,2,2,5,3,3,4,5,2,1,1,7,0.5,650,630,0,3,15,5,3,3,22.1666333333333,1,189,1,3,3,1,3,4,4,2,4,2,6,6,7
"443",1,18,3,2,4,4,3,4,4,4,2,3,10,3,500,500,250,3,0,2,4,4,24.9166333333333,1,86,1,4,3,3,3,4,5,3,4,4,3,5,3
"444",1,4,6,2,4,4,3,3,4,4,2,5,30,2.4,200,0,780,3,0,3,3,3,23.9166333333333,1,86,1,5,4,4,2,5,4,4,4,2,2,2,7
"445",1,19,3,2,5,5,4,4,5,5,1,3,5,2,150,612,300,5,15,5,3,3,26.4999666666668,1,86,1,5,5,2,1,4,4,1,4,5,6,5,7
"446",1,19,2,1,5,4,3,3,5,3,2,6,105,85,30,948,0,5,0,5,3,3,35.3333,2,86,1,2,2,1,1,3,1,1,4,6,5,7,4
"447",1,24,2,2,5,4,4,5,5,4,2,5,50,9,240,150,241,2,0,3,4,4,22.4166333333333,1,86,1,5,5,5,5,5,5,4,4,3,1,5,4
"448",2,24,7,1,4,4,5,3,4,3,1,3,45,30,2300,1040,0,3,38,3,3,3,33.4166333333333,2,86,1,5,5,5,5,5,5,5,5,3,1,6,4
"449",1,24,2,2,3,2,4,4,4,4,2,5,30,8.3,440,370,340,3,10,3,3,3,22.0833,1,86,1,5,4,3,3,3,5,4,4,2,5,5,3
"450",1,22,2,1,4,4,4,2,4,3,1,1,40,7,2000,1020,0,4,10,4,3,3,27.6666333333333,1,190,5,4,3,2,2,3,3,4,3,2,3,6,5
"451",2,4,7,2,4,4,3,3,4,4,1,2,10,2,2000,1100,0,2,55,5,2,2,35.0833,2,86,1,3,3,3,3,2,3,3,3,2,4,2,1
"452",1,24,6,2,2,2,4,2,3,3,2,5,90,35.7,50,30,91.5,1,0,3,3,3,24.5833,1,86,1,5,5,5,5,4,5,4,2,3,3,5,7
"453",1,24,6,2,4,2,2,4,3,4,1,2,15,3.4,2032,100,560,2,0,3,5,5,23.9166333333333,1,86,1,4,3,3,3,3,4,3,4,5,1,5,5
"454",1,24,3,2,4,5,4,4,5,5,2,3,60,13,200,470,450,4,15,5,1,1,22.4166333333333,1,86,1,4,3,3,3,4,5,2,5,4,6,6,1
"455",1,24,7,2,4,5,4,5,5,5,2,3,15,6.7,400,225,200,1,15,5,5,5,24.5833,2,86,1,5,5,5,4,4,5,5,5,3,2,5,4
"456",1,24,4,2,5,4,5,4,4,5,2,2,15,3,400,20,100,1,0,3,2,2,22.9166333333333,2,86,1,2,2,2,3,3,4,2,4,3,2,5,4
"457",1,24,2,2,4,4,4,4,4,3,2,5,100,65,80,154,0,3,3,3,4,4,21.2499666666668,2,86,1,3,2,3,4,3,5,4,4,6,2,7,5
"458",1,18,4,2,2,4,3,4,4,4,2,2,10,2,260,210,185,1,12,4,3,3,23.2499666666668,2,86,1,4,4,3,3,2,5,5,4,2,3,2,1
"459",1,25,3,2,1,1,1,4,1,4,1,3,120,200,1150,1300,0,4,30,5,1,1,25.2499666666668,1,86,1,2,1,3,1,2,3,1,1,4,6,1,7
"460",2,17,1,1,4,3,4,4,5,4,2,2,20,3.6,600,1040,0,1,40,5,4,4,39.7499666666668,1,86,1,4,4,5,5,5,4,4,5,2,6,7,3
"461",2,16,2,2,5,2,3,5,5,4,2,5,120,80,2170,700,0,1,0,3,3,3,61.1666333333333,1,86,1,5,3,4,2,5,5,5,4,6,3,6,4
"462",2,3,1,1,5,5,3,3,5,5,2,3,60,90,1620,1300,0,2,50,3,3,3,48.4999666666668,1,86,1,4,3,3,3,5,5,5,5,3,6,6,1
"463",2,24,9,2,4,4,4,4,4,4,2,3,75,97,2460,2012,0,1,40,2,3,3,36.3333,2,86,1,4,4,4,3,4,5,5,4,5,4,6,7
"464",1,3,4,2,4,3,3,5,4,5,2,3,10,2,500,500,150,3,0,2,4,4,26.5833,2,86,1,4,4,5,2,2,5,2,5,3,2,4,4
"465",1,24,8,2,3,4,5,3,4,2,2,3,25,5,300,140,1450,3,0,2,4,4,23.5833,2,86,1,3,3,3,4,4,1,2,4,3,6,8,5
