"","Q1.2","Q1.4","Q1.5","Q1.12","Q1.14.1","Q1.14.2","Q1.14.3","Q1.14.4","Q1.14.5","Q1.14.6","Q3.3","Q3.5.2","Q3.6.1","Q3.6.2","Q3.7","Q3.8.1c1","Q3.8.1c2","Q3.12","Q3.14","Q3.21.1","Q3.21.2","Q3.21.3","Q5.1","Q5.2","Q5.3.1","Q5.4","Q6.1.1","Q6.1.2","Q6.1.3","Q6.1.4","Q6.1.5","Q6.2.1","Q6.2.2","Q6.2.5","Q6.3","Q6.7","Q7.5","Q7.6"
"195",2,24,6,2,4,2,3,3,4,2,1,1,20,1,2150,1441,0,3,38,3,3,3,25.9999666666668,1,86,1,5,4,4,3,4,4,3,4,4,1,5,6
"196",1,24,14,2,4,4,3,2,2,3,2,3,40,12,400,190,370,3,10,5,3,3,23.1666333333333,1,86,2,3,2,2,1,3,4,2,2,5,5,6,7
"197",1,22,10,2,5,5,4,4,5,4,1,1,40,3,500,460,400,4,5,4,3,3,23.3333,1,86,1,5,5,4,3,4,4,3,4,3,5,4,4
"198",2,24,3,1,5,5,5,3,5,4,2,5,75,30,600,600,0,3,20,4,3,3,54.8333,1,86,1,5,5,5,4,5,5,4,5,3,1,6,4
"199",1,24,4,2,5,5,3,5,5,5,1,1,10,0.5,750,710,400,2,13,3,3,3,22.9999666666668,2,86,1,5,5,3,4,3,4,4,5,3,2,3,1
"200",1,22,4,2,4,2,4,1,3,2,1,1,20,2.5,600,0,1755,3,0,4,4,4,23.7499666666668,2,189,1,2,2,4,2,4,4,2,4,4,3,2,1
"201",1,18,3,2,4,4,2,4,4,4,1,1,30,3,780,610,120,5,0,3,4,4,24.5833,2,86,1,5,3,5,3,4,2,1,4,4,4,7,5
"202",2,21,1,2,5,4,5,4,5,4,1,3,15,11,3200,2090,0,2,40,4,4,4,27.1666333333333,1,86,1,4,3,4,2,4,4,3,3,4,3,5,3
"203",2,23,10,1,4,4,3,5,5,4,2,3,35,17,3000,3000,0,2,40,4,3,3,55.9166333333333,2,86,1,3,3,2,2,2,5,3,4,6,6,7,1
"204",1,3,4,1,3,2,4,3,3,5,1,1,30,21,300,65,330,3,0,3,3,3,30.2499666666668,2,86,1,4,3,4,4,5,4,3,2,5,3,4,7
